Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,39,LAL,78,78,2441,560,993,0.564,1,3,0.333,559,990,0.565,0.564,245,343,0.714,152,371,523,203,49,97,186,245,1366
2,Alvan Adams,C,32,PHO,68,40,1690,311,618,0.503,0,1,0,311,617,0.504,0.503,134,170,0.788,91,247,338,223,62,37,139,207,756
3,Michael Adams,PG,24,WSB,63,0,1303,160,393,0.407,28,102,0.275,132,291,0.454,0.443,105,124,0.847,38,85,123,244,85,6,81,88,453
4,Rafael Addison,SF,22,PHO,62,12,711,146,331,0.441,16,50,0.32,130,281,0.463,0.465,51,64,0.797,41,65,106,45,27,7,54,75,359
5,Mark Aguirre,SF,27,DAL,80,80,2663,787,1590,0.495,53,150,0.353,734,1440,0.51,0.512,429,557,0.77,181,246,427,254,84,30,217,243,2056
6,Danny Ainge,SG,27,BOS,71,66,2499,410,844,0.486,85,192,0.443,325,652,0.498,0.536,148,165,0.897,49,193,242,400,101,14,141,189,1053
7,Mark Alarie,PF,23,DEN,64,25,1110,217,443,0.49,2,9,0.222,215,434,0.495,0.492,67,101,0.663,73,141,214,74,22,28,56,138,503
8,Richard Anderson,PF,26,HOU,51,0,312,59,139,0.424,4,16,0.25,55,123,0.447,0.439,22,29,0.759,24,55,79,33,7,3,19,37,144
9,Ron Anderson,SF,28,IND,63,0,721,139,294,0.473,0,5,0,139,289,0.481,0.473,85,108,0.787,73,78,151,54,31,3,55,65,363
10,John Bagley,PG,26,CLE,72,67,2182,312,732,0.426,31,103,0.301,281,629,0.447,0.447,113,136,0.831,55,197,252,379,91,7,163,114,768
11,James Bailey,PF,29,NJN,34,2,542,112,239,0.469,0,0,,112,239,0.469,0.469,58,80,0.725,48,89,137,20,12,23,54,119,282
12,Thurl Bailey,PF,25,UTA,81,2,2155,463,1036,0.447,0,2,0,463,1034,0.448,0.447,190,236,0.805,145,287,432,102,38,88,123,150,1116
13,Greg Ballard,SF,32,GSW,82,7,1579,248,564,0.44,15,40,0.375,233,524,0.445,0.453,68,91,0.747,99,241,340,108,50,15,70,167,579
14,Gene Banks,SF,27,CHI,63,39,1822,249,462,0.539,0,5,0,249,457,0.545,0.539,112,146,0.767,115,193,308,170,52,17,113,173,610
15,Charles Barkley*,PF,23,PHI,68,62,2740,557,937,0.594,21,104,0.202,536,833,0.643,0.606,429,564,0.761,390,604,994,331,119,104,322,252,1564
16,John Battle,SG,24,ATL,64,8,804,144,315,0.457,0,10,0,144,305,0.472,0.457,93,126,0.738,16,44,60,124,29,5,60,76,381
17,William Bedford,C,23,PHO,50,18,979,142,358,0.397,0,1,0,142,357,0.398,0.397,50,86,0.581,79,167,246,57,18,37,85,125,334
18,Benoit Benjamin,C,22,LAC,72,61,2230,320,713,0.449,0,2,0,320,711,0.45,0.449,188,263,0.715,134,452,586,135,60,187,184,251,828
19,Kent Benson,C,32,UTA,73,2,895,140,316,0.443,2,7,0.286,138,309,0.447,0.446,47,58,0.81,80,151,231,39,39,28,45,138,329
20,Walter Berry,SF-PF,22,TOT,63,45,1586,407,766,0.531,0,3,0,407,763,0.533,0.531,187,288,0.649,136,173,309,105,38,40,153,196,1001
20,Walter Berry,PF,22,POR,7,0,19,6,8,0.75,0,0,,6,8,0.75,0.75,1,1,1,4,3,7,1,2,0,0,8,13
20,Walter Berry,SF,22,SAS,56,45,1567,401,758,0.529,0,3,0,401,755,0.531,0.529,186,287,0.648,132,170,302,104,36,40,153,188,988
21,Joe Binion,PF,25,POR,11,0,51,4,10,0.4,0,0,,4,10,0.4,0.4,6,10,0.6,8,10,18,1,2,2,3,5,14
22,Larry Bird*,SF,30,BOS,74,73,3005,786,1497,0.525,90,225,0.4,696,1272,0.547,0.555,414,455,0.91,124,558,682,566,135,70,240,185,2076
23,Otis Birdsong,SG,31,NJN,7,6,127,19,42,0.452,0,1,0,19,41,0.463,0.452,6,9,0.667,3,4,7,17,3,0,9,16,44
24,Uwe Blab,C,24,DAL,30,0,160,20,51,0.392,0,0,,20,51,0.392,0.392,13,28,0.464,11,25,36,13,4,9,15,33,53
25,Rolando Blackman,SG,27,DAL,80,80,2758,626,1264,0.495,5,15,0.333,621,1249,0.497,0.497,419,474,0.884,96,182,278,266,64,21,174,142,1676
26,Manute Bol,C,24,WSB,82,12,1552,103,231,0.446,0,1,0,103,230,0.448,0.446,45,67,0.672,84,278,362,11,20,302,61,189,251
27,Sam Bowie,C,25,POR,5,5,163,30,66,0.455,0,0,,30,66,0.455,0.455,20,30,0.667,14,19,33,9,1,10,15,19,80
28,Dudley Bradley,SG,29,MIL,68,2,900,76,213,0.357,13,50,0.26,63,163,0.387,0.387,47,58,0.81,31,71,102,66,105,8,34,118,212
29,Adrian Branch,SF,23,LAL,32,0,219,48,96,0.5,0,2,0,48,94,0.511,0.5,42,54,0.778,23,30,53,16,16,3,24,39,138
30,Randy Breuer,C,26,MIL,76,10,1467,241,497,0.485,0,0,,241,497,0.485,0.485,118,202,0.584,129,221,350,47,56,61,100,229,600
31,Frank Brickowski,PF-C,27,TOT,44,0,487,63,124,0.508,0,4,0,63,120,0.525,0.508,50,70,0.714,48,68,116,17,20,6,32,118,176
31,Frank Brickowski,PF,27,LAL,37,0,404,53,94,0.564,0,0,,53,94,0.564,0.564,40,59,0.678,40,57,97,12,14,4,25,105,146
31,Frank Brickowski,C,27,SAS,7,0,83,10,30,0.333,0,4,0,10,26,0.385,0.333,10,11,0.909,8,11,19,5,6,2,7,13,30
32,Junior Bridgeman,SF,33,MIL,34,4,418,79,171,0.462,1,6,0.167,78,165,0.473,0.465,16,20,0.8,14,38,52,35,10,2,15,50,175
33,Mike Brittain,C,23,SAS,6,0,29,4,9,0.444,0,0,,4,9,0.444,0.444,1,2,0.5,2,2,4,2,1,0,2,3,9
34,Michael Brooks,SF,28,IND,10,0,148,13,37,0.351,0,0,,13,37,0.351,0.351,7,10,0.7,9,19,28,11,9,0,11,19,33
35,Mike Brown,C,23,CHI,62,3,818,106,201,0.527,0,0,,106,201,0.527,0.527,46,72,0.639,71,143,214,24,20,7,59,129,258
36,Tony Brown,SG,26,NJN,77,67,2339,358,810,0.442,5,20,0.25,353,790,0.447,0.445,152,206,0.738,84,135,219,259,89,14,153,273,873
37,Michael Cage,PF,25,LAC,80,76,2922,457,878,0.521,0,3,0,457,875,0.522,0.521,341,467,0.73,354,568,922,131,99,67,171,221,1255
38,Tony Campbell,SF,24,DET,40,0,332,57,145,0.393,0,3,0,57,142,0.401,0.393,24,39,0.615,21,37,58,19,12,1,34,40,138
39,Rick Carlisle,SG,27,BOS,42,0,297,30,92,0.326,5,16,0.313,25,76,0.329,0.353,15,20,0.75,8,22,30,35,8,0,25,28,80
40,Antoine Carr,PF,25,ATL,65,2,695,134,265,0.506,1,3,0.333,133,262,0.508,0.508,73,103,0.709,60,96,156,34,14,48,40,146,342
41,Kenny Carr,PF,31,POR,49,43,1443,201,399,0.504,0,2,0,201,397,0.506,0.504,126,169,0.746,131,368,499,83,29,13,103,159,528
42,Joe Barry Carroll,C,28,GSW,81,81,2724,690,1461,0.472,0,0,,690,1461,0.472,0.472,340,432,0.787,173,416,589,214,92,123,226,255,1720
43,Bill Cartwright,C,29,NYK,58,50,1989,335,631,0.531,0,0,,335,631,0.531,0.531,346,438,0.79,132,313,445,96,40,26,128,188,1016
44,Terry Catledge,PF,23,WSB,78,77,2149,413,835,0.495,0,4,0,413,831,0.497,0.495,199,335,0.594,248,312,560,56,43,14,145,195,1025
45,Tom Chambers,PF,27,SEA,82,82,3018,660,1446,0.456,54,145,0.372,606,1301,0.466,0.475,535,630,0.849,163,382,545,245,81,50,268,307,1909
46,Maurice Cheeks,PG,30,PHI,68,68,2624,415,788,0.527,4,17,0.235,411,771,0.533,0.529,227,292,0.777,47,168,215,538,180,15,173,109,1061
47,Fred Cofield,PG,25,CHI,5,0,27,2,11,0.182,0,1,0,2,10,0.2,0.182,0,0,,1,4,5,4,2,0,1,1,4
48,Ben Coleman,C,25,NJN,68,7,1029,182,313,0.581,0,1,0,182,312,0.583,0.581,88,121,0.727,99,189,288,37,32,31,94,200,452
49,Don Collins,SF,28,MIL,6,0,57,10,28,0.357,0,0,,10,28,0.357,0.357,5,7,0.714,11,4,15,2,2,1,5,11,25
50,Steve Colter,PG,24,TOT,70,31,1322,169,397,0.426,4,17,0.235,165,380,0.434,0.431,82,107,0.766,23,85,108,210,56,12,70,99,424
50,Steve Colter,PG,24,CHI,27,18,473,49,142,0.345,0,9,0,49,133,0.368,0.345,33,39,0.846,9,33,42,94,19,6,32,38,131
50,Steve Colter,PG,24,PHI,43,13,849,120,255,0.471,4,8,0.5,116,247,0.47,0.478,49,68,0.721,14,52,66,116,37,6,38,61,293
51,Darwin Cook,SG,28,WSB,82,2,1420,265,622,0.426,2,23,0.087,263,599,0.439,0.428,82,103,0.796,46,99,145,151,98,17,96,136,614
52,Michael Cooper,SG,30,LAL,82,2,2253,322,736,0.438,89,231,0.385,233,505,0.461,0.498,126,148,0.851,58,196,254,373,78,43,102,199,859
53,Wayne Cooper,C,30,DEN,69,64,1561,235,524,0.448,0,3,0,235,521,0.451,0.448,79,109,0.725,162,311,473,68,13,101,78,257,549
54,Tyrone Corbin,SF,24,TOT,63,15,1170,156,381,0.409,1,4,0.25,155,377,0.411,0.411,91,124,0.734,88,127,215,97,55,5,66,129,404
54,Tyrone Corbin,SF,24,SAS,31,15,732,113,264,0.428,0,0,,113,264,0.428,0.428,49,67,0.731,52,67,119,80,38,3,46,81,275
